Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Abandoned Warehouses,Industrial,,,,,4,,"You may gain 2 commoditites, or you may convert up to 2 of your commodities to trade goods.","1. Far beneath the storm-wracked seas, vast storage tanks drifted in the lightless depths.|2. ""Looks like some smuggler hid their shipment of gerr root here and forgot to pick it up.""|3. Suffi An drifted into the derelict orbital and brushed her suited hand across the inner hatch controls. A light glowed, and she smiled. The statis seals were still operational.|4. The storage silos had been half buried in sand dunes, sealed enviro-doors hiding the stockpiles within.",,
Biotic Research Facility,Industrial,,,,,1,,"Attach: This planet has a green technology specialty; if this planet already has a technology specialty, this planet's resource and influence values are each increased by 1 instead.",,,"green skip, green tech skip"
Core Mine,Hazardous,,,,,3,,"If you have at least 1 mech on this planet, or if you remove 1 infantry from this planet, gain 1 trade good.","1. ""If we don't seal it now, this mine is going to erupt and spew those metals you want so badly across the entire continent!""|2. The borehole was over a kilometer across. It seemed to stretch down forever, but Ilan could see a faint orange glow in its depths.|3. Without the proper machinery, a core mine can be a more hostile environment than a star's corona.",,
Cultural Relic Fragment,Cultural,,,,,9,,Action: Purge 3 of your cultural relic fragments to gain 1 relic.,,,"cultural fragment, blue fragment, blue relic fragment"
Cybernetic Research Facility,Industrial,,,,,1,,"Attach: This planet has a yellow technology specialty; if this planet already has a technology specialty, this planet's resource and influence values are each increased by 1 instead.",,,"yellow skip, yellow tech skip"
Demilitarized Zone,Cultural,,,,,1,,"Return all structures on this planet to your reinforcements. Then, return all ground forces on this planet to the space area.|Attach: Units cannot be committed to, produced on, or placed on this planet. During the agenda phase, this planet's planet card can be traded as part of a transaction.",,,dmz
Derelict Vessel,Frontier,,,,,2,,Draw 1 secret objective.,"1. Missing for fifty years, the Errasthua was found drifting off the Celder Nebula with her drive dead and every crewmember vanished.|2. The flickering ion storm illuminated the hulk, its hull rent and torn by some monstrous force.",,
Dyson Sphere,Cultural,,,,,1,,Attach: This planet's resource value is increased by 2 and its influence values is increased by 1.,,,
Enigmatic Device,Frontier,,,,,2,,Place this card faceup in your play area.|Action: You may spend 6 resource and purge this card to research 1 technology.,"1. A needle longer than a dreadnought but no wider than a landcar flew through the void, its surface glowing with a pale violet light.|2. The silver pinwheel spun slowly in the midst of the nebula, each kilometer-long blade glittering faintly with reflected starlight.",,
Expedition,Hazardous,,,,,3,,"If you have at least 1 mech on this planet, or if you remove 1 infantry from this planet, ready this planet.","1. The Eidolon screamed through the atmosphere, corrosive rain streaming harmlessly off the hull as it began its survey sweep.|2. ""These cave networks stretch for hundreds of kilometers. It may take months to properly map them.""|3. ""We've lost two companies of scouts to whatever is in those canyons.""",,
